País,Acumulado ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1T 2025 P,2T 2025 P,3T 2025 P
México,9494,343,288,148,116,112,141,120,118,118,139,121,162,131,132,199,197,213,229,245,281,302,305,410,426,407,457,438,397,618,507,575,700,192,225,254
Moldova,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Mónaco,36,-,-,-,-,-,-,-,-,-,-,3,7,-,-,2,2,2,2,3,1,1,2,3,1,1,1,1,2,-,-,1,1,-,-,-
Mongolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mozambique,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar (Birmania),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Namibia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nauru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Níger,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nigeria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Noruega,1078,-,6,6,10,6,5,5,12,11,23,16,14,16,28,38,45,30,47,60,64,59,56,46,54,48,50,49,33,44,49,56,73,10,9,7
Nueva Zelandia,296,-,3,3,5,-,2,3,3,7,3,7,7,8,14,10,14,15,12,10,17,8,17,10,9,7,17,15,4,13,15,16,19,3,-,5
Omán,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Países Bajos,7582,-,73,60,48,36,52,70,117,127,182,140,222,271,277,341,396,369,361,415,422,363,350,338,323,282,270,254,275,283,252,258,247,57,51,85
Pakistán,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Palau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Panamá,47,-,-,-,-,-,-,-,-,-,-,9,-,-,-,1,4,3,3,2,2,5,2,-,4,1,3,1,2,1,-,3,1,-,-,1
Papua Nueva Guinea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguay,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Perú,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-,1,1,-,3,-,1,-,1,3,2,2,3,-
Polonia,110,-,-,-,-,-,-,-,-,1,-,2,-,3,1,-,-,6,-,-,2,2,8,10,6,3,4,10,9,8,8,11,13,-,3,2
Portugal,114,-,-,1,2,-,-,-,2,1,1,6,2,-,2,6,2,6,1,7,8,5,3,4,6,7,6,9,2,7,3,7,4,3,1,4
Qatar,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-
Reino Unido,6588,206,175,136,70,90,114,124,167,167,197,156,181,234,265,272,252,266,206,302,305,257,243,237,196,179,142,167,189,269,224,214,257,67,63,63
Rep. Centroafricana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rep. Dem. del Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
República Checa,76,-,-,-,-,-,-,-,-,-,1,-,4,-,1,2,3,2,1,-,3,3,4,1,7,4,2,3,3,7,8,10,5,2,1,1
